Category,Subject,Role
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 1,"Матричните операции захранват невронните мрежи, обработката на изображения и изчисленията, ускорени от графичен процесор."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 1,"От съществено значение за тензорни операции, изчисляване на градиенти при обратно разпространение и трансформиране на пространства от характеристики."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 2,"Използва се в PCA, SVD, вграждания и намаляване на размерността в мащабни ML системи."
"Изкуствен интелект, машинно обучение и наука за данни",Алгебра 2,"Прилага се в анализ на сложни мрежи, съвместно филтриране в препоръчителни системи и тематично моделиране."
"Изкуствен интелект, машинно обучение и наука за данни",Анализ на данните с Python,"Стандартният набор от инструменти (Pandas, NumPy) за обработка, почистване и подготовка на данни за машинно обучение."
"Изкуствен интелект, машинно обучение и наука за данни",Анализ на данните с Р,"Широко използван в биоинформатиката, академичните изследвания и напредналото статистическо изобразяване."
"Изкуствен интелект, машинно обучение и наука за данни",Бази от данни,"Поддържа канали за данни, съхранение на функции и заявки към мащабни набори от данни."
"Изкуствен интелект, машинно обучение и наука за данни",Бази от данни,"Критично важно за изграждането на масивни хранилища за характеристики, ефективни векторни бази данни за LLM и складове за данни."
"Изкуствен интелект, машинно обучение и наука за данни",Бейсов анализ на данните,"Прилага се в вероятности за медицински диагнози, филтриране на спам и модели за последователно вземане на решения."
"Изкуствен интелект, машинно обучение и наука за данни",Вероятности и статистика,"Използва се в A/B тестване, вероятностни модели, филтриране на спам и оценка на неопределеността."
"Изкуствен интелект, машинно обучение и наука за данни",Вероятности и статистика,"Тестване от основно към A/B, Байесов извод, обработка на естествен език (вериги на Марков) и генеративни модели."
"Изкуствен интелект, машинно обучение и наука за данни",Визуализация на данни,Прилага се при създаването на интерактивни табла за управление (Tableau/PowerBI) и преобразуването на сложни модели в бизнес анализи.
"Изкуствен интелект, машинно обучение и наука за данни",Времеви редове,"От решаващо значение за алгоритмична търговия, прогнозиране на времето и прогнозиране на натоварването на сървъра във времето."
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 1,Използва се в градиентна оптимизация за модели за обучение и настройване на мащабни системи.
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 1,"Използва се за извеждане на функции на разходите, разбиране на локалните минимуми/максимуми и формулиране на активиращи функции."
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 2,Обратното разпространение и оптимизацията за дълбоко обучение разчитат на многофакторно смятане.
"Изкуствен интелект, машинно обучение и наука за данни",Диференциално и интегрално смятане 2,"Жизненоважно за матрици на Хес, методи за оптимизация от втори ред (като метода на Нютон) и усъвършенствани функции на плътност на вероятностите."
"Изкуствен интелект, машинно обучение и наука за данни",Дълбоко обучение с Tensorflow,"Използва се за изграждане на най-съвременни LLM, проследяване на обекти в реално време и агенти за дълбоко обучение с подсилване."
"Изкуствен интелект, машинно обучение и наука за данни",Извличане на закономерности от данни (Data Mining),"Прилага се в анализ на пазарната кошница, откриване на измами и идентифициране на аномалии в големи регистрационни файлове на транзакции."
"Изкуствен интелект, машинно обучение и наука за данни",Изкуствен интелект,"Използва се в системи за препоръки, класиране в търсачките, чатботове и системи за автономно вземане на решения."
"Изкуствен интелект, машинно обучение и наука за данни",Изкуствен интелект,"Прилага се в автономни превозни средства, прогнозна поддръжка в производството и автоматизирана медицинска диагностика."
"Изкуствен интелект, машинно обучение и наука за данни",Логическо програмиране,"Използва се в системи, базирани на правила, семантично разсъждение и графи на знания."
